4,4.5,313,69,50000,0,1,1
30,3.6,216,89,10000,0,1,1
30,3.9,7,89,100,1,1,1
30,4.5,259,29,10000,0,1,1
12,4.2,1415,29,100000,0,1,1
30,4.5,313,49,10000,1,1,1
5,4.3,46353,21,1000000,0,1,1
15,3.2,768,1,100000,0,1,1
20,3.4,59,1,10000,0,1,1
13,3.7,913,79,100000,0,1,1
15,4.3,47698,49,5000000,0,1,1
12,4.5,659,39,10000,1,1,1
29,3.6,28,49,500,1,1,1
15,4.3,8668,99,500000,0,3,1
26,3.9,7801,29,1000000,0,1,1
18,3.9,58055,49,5000000,0,1,1
18,4.1,20145,11,1000000,0,1,1
5,3.1,7,39,1000,0,1,1
7,3.8,15036,29,1000000,0,1,1
24,4.6,41000,22,1000000,0,1,1
30,3.8,39,39,10000,0,3,1
4,4.2,20,39,1000,0,1,1
18,4.1,142,49,10000,0,1,1
18,4.1,120,79,10000,0,1,1
18,4.1,66,79,10000,0,1,1
18,4.1,174,89,10000,0,1,1
18,4.2,86,49,10000,0,1,1
18,4.2,78,89,10000,0,1,1
18,4.3,15,49,1000,0,1,1
18,4.4,34,49,1000,0,1,1
18,4.4,63,49,5000,0,1,1
18,4.4,50,59,5000,0,1,1
18,4.4,30,79,5000,0,1,1
18,3.6,7,18,1000,0,1,1
18,3.7,83,49,10000,0,1,1
18,3.8,18,49,1000,0,1,1
18,3.9,53,39,10000,0,1,1
18,3.9,131,49,10000,0,1,1
18,3.9,71,49,10000,0,1,1
18,4.0,24,49,1000,0,1,1
18,4.0,45,39,5000,0,1,1
18,4.0,50,49,5000,0,1,1
18,4.0,45,89,5000,0,1,1
15,4.0,387,1,50000,0,1,1
13,4.4,137,49,10000,0,1,1
21,4.5,163,39,10000,1,1,1
12,4.6,20178,99,100000,0,1,1
30,4.1,981,79,100000,0,1,1
24,4.2,37237,39,5000000,0,1,1
7,4.2,5599,1,100000,1,1,1
30,4.5,21979,98,1000000,0,1,1
19,4.7,56197,15,1000000,0,1,1
30,4.7,1363,1,10000,1,1,1
31,3.2,58,17,5000,0,1,1
12,4.5,922,59,50000,0,1,1
30,4.6,159,29,1000,1,1,1
30,2.8,130,13,5000,1,1,1
30,2.9,33,13,1000,1,1,1
12,5.0,2,49,10,0,1,1
30,3.9,47,29,1000,1,1,1
15,4.1,207,22,50000,0,1,1
9,4.4,1619,35,1000000,0,1,1
12,4.7,7,1,100,1,1,1
33,4.2,2115,1,500000,0,1,1
30,2.9,164,13,5000,1,1,1
32,3.0,78,39,10000,0,1,1
30,4.0,8,1,100,0,1,1
30,4.1,479,29,50000,0,1,1
30,4.2,38,29,5000,0,1,1
30,3.3,257,15,5000,1,1,1
30,4.3,249,69,10000,0,1,1
22,3.8,881,22,100000,0,1,1
16,4.1,131,39,5000,0,1,1
30,3.5,138,13,5000,1,1,1
30,3.6,448,49,50000,0,1,1
30,2.7,168,16,5000,1,1,1
12,4.7,15,39,100,1,1,1
5,3.1,71,6,10000,0,1,1
24,3.5,178,1,10000,0,1,1
24,3.7,21,39,500,1,1,1
18,3.8,7750,29,1000000,0,1,1
24,3.8,24198,22,1000000,0,1,1
7,3.9,1436,29,100000,0,1,1
12,4.0,13,22,1000,0,1,1
18,5.0,26,22,1000,0,1,1
18,5.0,15,1,1000,0,1,1
30,5.0,9,1,100,0,1,1
28,3.8,32,1,10000,0,3,1
3,4.5,473,1,100000,0,2,1
30,4.4,113951,59,10000000,0,1,1
7,4.8,6,39,100,1,1,1
24,4.4,77609,6,1000000,0,1,1
5,4.2,2359,22,10000,1,1,1
24,4.2,18280,69,1000000,0,1,1
24,4.3,28728,29,500000,1,1,1
24,4.3,60298,13,5000000,0,1,1
12,4.4,201,29,5000,1,1,1
30,4.1,45610,16,10000000,0,1,1
30,4.5,31621,29,5000000,0,1,1
30,3.6,949,49,100000,0,1,1
12,4.6,5898,59,100000,0,1,1
12,4.5,93,1,50000,0,1,1
7,4.8,10,59,100,1,1,1
7,4.0,32,49,5000,0,1,1
15,4.0,32522,49,1000000,0,1,1
15,3.7,38767,49,5000000,0,1,1
5,4.4,373,49,10000,0,1,1
15,4.2,4569,12,100000,1,1,1
15,4.0,41759,12,1000000,0,1,1
28,5.0,2,22,500,0,1,1
7,4.4,7,39,5000,0,1,1
21,4.4,34,49,10000,0,1,1
30,3.9,65,59,5000,0,1,1
30,4.3,3268,49,100000,0,1,1
26,4.4,26358,59,500000,1,1,1
7,4.2,124346,1,10000000,0,1,1
24,4.3,111634,13,5000000,0,1,1
